"","gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes"
"746","LOC111113340","GO:0008270","zinc ion binding",2113,105,74.06,0.00014,"Molecular Functions",0.0496923805016564
"747","LOC111113447","GO:0005524","ATP binding",1286,63,45.07,0.00443,"Molecular Functions",0.0489891135303266
"748","LOC111114183","GO:0030371","translation repressor activity",233,25,8.17,1.5e-06,"Molecular Functions",0.107296137339056
"749","LOC111114183","GO:0061630","ubiquitin protein ligase activity",601,46,21.06,6.4e-07,"Molecular Functions",0.0765391014975042
"750","LOC111114212","GO:0005198","structural molecule activity",371,31,13,0.04131,"Molecular Functions",0.0835579514824798
"751","LOC111114460","GO:0030371","translation repressor activity",233,25,8.17,1.5e-06,"Molecular Functions",0.107296137339056
"752","LOC111114460","GO:0061630","ubiquitin protein ligase activity",601,46,21.06,6.4e-07,"Molecular Functions",0.0765391014975042
"753","LOC111114537","GO:0031072","heat shock protein binding",46,5,1.61,0.02353,"Molecular Functions",0.108695652173913
"754","LOC111114909","GO:0004842","ubiquitin-protein transferase activity",1214,79,42.55,0.00721,"Molecular Functions",0.0650741350906096
"755","LOC111114909","GO:0008270","zinc ion binding",2113,105,74.06,0.00014,"Molecular Functions",0.0496923805016564
"756","LOC111114914","GO:0004842","ubiquitin-protein transferase activity",1214,79,42.55,0.00721,"Molecular Functions",0.0650741350906096
"757","LOC111114914","GO:0008270","zinc ion binding",2113,105,74.06,0.00014,"Molecular Functions",0.0496923805016564
"758","LOC111114917","GO:0008270","zinc ion binding",2113,105,74.06,0.00014,"Molecular Functions",0.0496923805016564
"759","LOC111114921","GO:0004842","ubiquitin-protein transferase activity",1214,79,42.55,0.00721,"Molecular Functions",0.0650741350906096
"760","LOC111114921","GO:0008270","zinc ion binding",2113,105,74.06,0.00014,"Molecular Functions",0.0496923805016564
"761","LOC111115048","GO:0004222","metalloendopeptidase activity",197,15,6.9,0.0041,"Molecular Functions",0.0761421319796954
"762","LOC111115048","GO:0004222","metalloendopeptidase activity",197,15,6.9,0.0041,"Molecular Functions",0.0761421319796954
