"","gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes"
"271","LOC111132297","GO:0003723","RNA binding",833,21,5.23,0.00153,"Molecular Functions",0.0252100840336134
"272","LOC111132297","GO:0003735","structural constituent of ribosome",174,10,1.09,1.5e-07,"Molecular Functions",0.0574712643678161
"273","LOC111132297","GO:0003735","structural constituent of ribosome",174,10,1.09,1.5e-07,"Molecular Functions",0.0574712643678161
"274","LOC111132341","GO:0004634","phosphopyruvate hydratase activity",2,1,0.01,0.01251,"Molecular Functions",0.5
"275","LOC111132341","GO:0004634","phosphopyruvate hydratase activity",2,1,0.01,0.01251,"Molecular Functions",0.5
"276","LOC111132857","GO:0031491","nucleosome binding",30,2,0.19,0.01515,"Molecular Functions",0.0666666666666667
"277","LOC111132857","GO:0042393","histone binding",71,4,0.45,0.00104,"Molecular Functions",0.0563380281690141
"278","LOC111132962","GO:0035438","cyclic-di-GMP binding",13,2,0.08,0.00291,"Molecular Functions",0.153846153846154
"279","LOC111132962","GO:0061507","cyclic-GMP-AMP binding",13,2,0.08,0.00291,"Molecular Functions",0.153846153846154
"280","LOC111132998","GO:0000994","RNA polymerase III core binding",1,1,0.01,0.00628,"Molecular Functions",1
"281","LOC111134430","GO:0001055","RNA polymerase II activity",2,1,0.01,0.01251,"Molecular Functions",0.5
"282","LOC111134561","GO:0003729","mRNA binding",160,7,1,0.00162,"Molecular Functions",0.04375
"283","LOC111134794","GO:1905394","retromer complex binding",1,1,0.01,0.00628,"Molecular Functions",1
"284","LOC111135245","GO:0003810","protein-glutamine gamma-glutamyltransferase activity",5,1,0.03,0.03099,"Molecular Functions",0.2
"285","LOC111135245","GO:0003810","protein-glutamine gamma-glutamyltransferase activity",5,1,0.03,0.03099,"Molecular Functions",0.2
"286","LOC111135345","GO:0003723","RNA binding",833,21,5.23,0.00153,"Molecular Functions",0.0252100840336134
"287","LOC111135345","GO:0003723","RNA binding",833,21,5.23,0.00153,"Molecular Functions",0.0252100840336134
"288","LOC111135345","GO:0003735","structural constituent of ribosome",174,10,1.09,1.5e-07,"Molecular Functions",0.0574712643678161
"289","LOC111135345","GO:0003735","structural constituent of ribosome",174,10,1.09,1.5e-07,"Molecular Functions",0.0574712643678161
"290","LOC111135697","GO:0003723","RNA binding",833,21,5.23,0.00153,"Molecular Functions",0.0252100840336134
"291","LOC111135726","GO:0003917","DNA topoisomerase type I activity",3,1,0.02,0.01871,"Molecular Functions",0.333333333333333
"292","LOC111135726","GO:0003917","DNA topoisomerase type I activity",3,1,0.02,0.01871,"Molecular Functions",0.333333333333333
"293","LOC111135849","GO:0003723","RNA binding",833,21,5.23,0.00153,"Molecular Functions",0.0252100840336134
"294","LOC111135849","GO:0003735","structural constituent of ribosome",174,10,1.09,1.5e-07,"Molecular Functions",0.0574712643678161
